ID,voter_reg_num,first_name,last_name,dob,sex,race,email,zip,state,NPI,Rheumatologist_name
1,1000000657,LYNN,WILDING,07/04/1946,M,W,lynn@gmail.com,77840,AL,1000000657,Rheumatologist_name
2,1000000657,LYNN,WILDING,07/04/1946,M,W,lynn@gmail.com,77840,AL,1000000657,Rheumatologist_name
3,1000000623,LYNN,WILDING,07/05/1946,M,W,lynn@gmail.com,55890,AL,1000000623,r
4,1000000623,LYNN,WILDING,07/05/1946,M,W,lyn@gmail.com,55880,AZ,1000000623,r
5,1000000658,LYNN,WILDING,07/09/1946,M,W,lynn@hotmail.com,12345,AZ,3434256753,Rheumatologist_name
6,1000000657,LYNN,WILDING,07/04/1946,F,W,lynn@gmail.com,12344,AZ,3434256753,e
7,1000000650,LYNN I,WILDING,07/04/1946,M,,,88909,TX,3434256753,Adam
8,1000000657,LYNN I,WILDING,07/04/1946,M,,,90909,TX,3434256753,Adam
9,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,jean@google.com,23233,DC,343425675,Adam
10,1000001972,JEAN EWART,ABERNATHY,08/28/1930,F,W,jean@google.com,23233,DC,343425675,Adam
11,1000001976,JEAN EWART,ABERNATHY,08/27/1930,F,B,jean@college.edu,11111,DC,343425675,Adam
12,1000013650,CLARETTA,ADAMS,10/31/1944,F,B,claretta@example.com,12121,DC,9087891,Adam
13,1000013655,CLARETTA,ADAMS,10/31/1944,F,B,claretta@example.com,12121,AL,9087891,Tom
14,1000013651,CLARETTA,ADAMS,10/31/1945,F,B,adams@example.com,54411,AL,9087891,Tom
15,1000013651,CLARETTA,ADAMS,10/31/1944,M,B,claretta@example.com,34553,AL,9087891,Tom
16,1000013651,CLARETTA,ADAMS,10/31/1945,F,W,claretta@example.com,35642,AL,9087891,Tom
