ID,voter_reg_num,first_name,last_name,dob,sex,race,info1,info2,info3,info4,info5
1,1000000657,LYNN,WILDING,07/04/1946,M,W,AMAB,303 FOREST ST,303 FOREST ST,WILDING,77845
1,1000000657,LYNN,WILDING,07/04/1946,M,W,AMAA,A,303 FOREST ST,A,77840
2,1000000623,LYNN,WILDING,07/05/1946,M,W,JAMES,604 Madlin pkwy,JEAN EWART,WILDING,77843
2,1000000623,LYNN,WILDING,07/05/1946,M,W,PAUL,604 Madlin pkwy,JEAN EWART,WILDING,77843
3,1000000657,LYNN,WILDING,07/01/1946,M,W,9791233445,604 Madlin pkwy,JEAN EWART,WILDING,77843
4,1000000657,LYNN,WILDING,07/04/1946,F,W,2188765432,300 String Street,LYNN I,JEAN EWART,77840
5,1000000657,LYNN,WILDING,07/04/1946,M,B,9798898889,300 String Street,LYNN I,JEAN EWART,77840
5,1000000657,LYNN,WILDING,07/04/1946,M,B,9798888889,209 Appletree St,JEAN EWART,WILDING,77840
6,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,9796542356,123 Gorge Bush,JEAN EWART,WILDING,77064
7,1000001972,JEAN EWART,ABERNATHY,08/28/1930,F,W,9796542356,123 Gorge Bush,JEAN EWART,WILDING,77064
7,1000001972,JEAN EWART,ABERNATHY,08/28/1930,F,W,9796542356,123 Gorge Bush,JEAN EWART,WILDING,77064
8,1000001971,JEAN EWART,ABERNATHY,08/27/1930,M,W,9796542356,123 Gorge Bush,JEAN EWART,WILDING,77064
9,1000001976,JEAN EWART,ABERNATHY,08/27/1930,F,B,9796542356,123 Gorge Bush,JEAN EWART,WILDING,77064
10,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,9796542356,4430 Finna St,CLARETTA,ADAMS,77840
11,1000013655,CLARETTA,ADAMS,10/31/1944,F,B,9796542356,4430 Finna St,CLARETTA,ADAMS,77840
12,1000013651,CLARETTA,ADAMS,10/31/1946,F,B,9796542356,4430 Finna St,CLARETTA,ADAMS,77840
13,1000013651,CLARETTA,ADAMS,10/31/1945,F,B,6636500439,90 Palo Alto,CLARETTA,ADAMS,77840
14,1000013651,CLARETTA,ADAMS,10/31/1944,M,B,6636500439,90 Palo Alto,CLARETTA,ADAMS,77064
15,1000013651,CLARETTA,ADAMS,10/31/1944,F,W,6636500439,90 Palo Alto,CLARETTA,ADAMS,77064
