ID,voter_reg_num,first_name,last_name,dob,sex,race,type,file_id,cntfn,cntln,same
1,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,1,A10,6,6,0
1,1000013655,CLARETTA,ADAMS,10/31/1944,F,B,1,A11,6,6,0
2,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,1,A10,6,6,0
2,1000013651,CLARETTA,ADAMS,10/31/1946,F,B,1,A12,6,6,0
3,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,1,A10,6,6,0
3,1000013651,CLARETTA,ADAMS,10/31/1945,F,B,1,A13,6,6,0
4,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,1,A10,6,6,0
4,1000013651,CLARETTA,ADAMS,10/31/1944,M,B,1,A14,6,6,0
5,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,1,A10,6,6,0
5,1000013651,CLARETTA,ADAMS,10/31/1944,F,W,1,A15,6,6,0
6,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,1,A10,6,6,0
6,1000013650,CLARETTA,ADAMS,10/31/1944,F,B,1,B10,6,6,0
7,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,1,A10,6,6,0
7,1000013655,CLARETTA,ADAMS,10/31/1944,F,B,1,B11,6,6,0
8,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,1,A10,6,6,0
8,1000013651,CLARETTA,ADAMS,10/31/1946,F,B,1,B12,6,6,0
9,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,1,A10,6,6,0
9,1000013651,CLARETTA,ADAMS,10/31/1945,F,B,1,B13,6,6,0
10,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,1,A10,6,6,0
10,1000013651,CLARETTA,ADAMS,10/31/1944,M,B,1,B14,6,6,0
11,1000013651,CLARETTA,ADAMS,10/31/1944,F,B,1,A10,6,6,0
11,1000013651,CLARETTA,ADAMS,10/31/1945,F,W,1,B15,6,6,0
12,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,1,A6,5,5,0
12,1000001972,JEAN EWART,ABERNATHY,08/28/1930,F,W,1,A7,5,5,0
13,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,1,A6,5,5,0
13,1000001971,JEAN EWART,ABERNATHY,08/27/1930,M,W,1,A8,5,5,0
14,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,1,A6,5,5,0
14,1000001976,JEAN EWART,ABERNATHY,08/27/1930,F,B,1,A9,5,5,0
15,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,1,A6,5,5,0
15,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,1,B6,5,5,0
16,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,1,A6,5,5,0
16,1000001972,JEAN EWART,ABERNATHY,08/28/1930,F,W,1,B7,5,5,0
17,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,1,A6,5,5,0
17,1000001971,JEAN EWART,ABERNATHY,08/27/1930,M,B,1,B8,5,5,0
18,1000001971,JEAN EWART,ABERNATHY,08/27/1930,F,W,1,A6,5,5,0
18,1000001976,JEAN EWART,ABERNATHY,08/27/1930,F,B,1,B9,5,5,0
19,1000000657,LYNN,WILDING,07/04/1946,M,W,1,A1,8,8,0
19,1000000623,LYNN,WILDING,07/05/1946,M,W,1,A2,6,8,0
20,1000000657,LYNN,WILDING,07/04/1946,M,W,1,A1,8,8,0
20,1000000657,LYNN,WILDING,07/01/1946,M,W,1,A3,6,8,0
21,1000000657,LYNN,WILDING,07/04/1946,M,W,1,A1,8,8,0
21,1000000657,LYNN,WILDING,07/04/1946,F,W,1,A4,6,8,0
22,1000000657,LYNN,WILDING,07/04/1946,M,W,1,A1,8,8,0
22,1000000657,LYNN,WILDING,07/04/1946,M,B,1,A5,6,8,0
23,1000000657,LYNN,WILDING,07/04/1946,M,W,1,A1,8,8,0
23,1000000657,LYNN,WILDING,07/04/1946,M,W,1,B1,6,8,0
24,1000000657,LYNN,WILDING,07/04/1946,M,W,1,A1,8,8,0
24,1000000623,LYNN,WILDING,07/05/1946,M,W,1,B2,6,8,0
25,1000000657,LYNN,WILDING,07/04/1946,M,W,1,A1,8,8,0
25,1000000658,LYNN,WILDING,07/09/1946,M,W,1,B3,6,8,0
26,1000000657,LYNN,WILDING,07/04/1946,M,W,1,A1,8,8,0
26,1000000657,LYNN,WILDING,07/04/1946,F,W,1,B4,6,8,0
