1,1000000623,8,LYNN,WILDING,8,07/05/1946,M,W,JAMES,604 Madlin pkwy,JEAN EWART,WILDING,77843,**********,****,*******,**/**/****,*,*,JAMES,604 Madlin pkwy,JEAN EWART,*******,****3,0,0,0
1,1000000623,6,LYNN,WILDING,8,07/05/1946,M,W,9796542356,7111 Harwin Dr,LYNN,WILDING,77845,**********,****,*******,**/**/****,*,*,9796542356,7111 Harwin Dr,LYNN,*******,****5,0,0,0
2,1000000657,8,LYNN,WILDING,8,07/04/1946,F,W,8007624124,604 Madlin pkwy,JEAN EWART,WILDING,77843,**********,****,*******,**/**/****,F,*,8007624124,604 Madlin pkwy,JEAN EWART,*******,****3,0,0,0
2,1000000657,6,LYNN,WILDING,8,07/04/1946,M,W,AMAB,303 FOREST ST,303 FOREST ST,WILDING,77845,**********,****,*******,**/**/****,M,*,AMAB,303 FOREST ST,303 FOREST ST,*******,****5,0,0,0
3,1000000657,8,LYNN,WILDING,8,07/04/1946,F,W,8007624124,604 Madlin pkwy,JEAN EWART,WILDING,77843,**********,****,*******,**/*4/****,F,*,8007624124,***************,**********,*******,*****,0,0,0
3,1000000657,6,LYNN,WILDING,8,07/01/1946,M,W,9791233445,604 Madlin pkwy,JEAN EWART,WILDING,77843,**********,****,*******,**/*1/****,M,*,9791233445,***************,**********,*******,*****,0,0,0
4,1000000657,8,LYNN,WILDING,8,07/04/1946,F,W,8007624124,604 Madlin pkwy,JEAN EWART,WILDING,77843,**********,****,*******,**/**/****,*,*,8007624124,604 Madlin pkwy,JEAN EWART,WILDING,****3,0,0,0
4,1000000657,6,LYNN,WILDING,8,07/04/1946,F,W,2188765432,300 String Street,LYNN I,JEAN EWART,77840,**********,****,*******,**/**/****,*,*,2188765432,300 String Street,LYNN I,JEAN EWART,****0,0,0,0
5,1000000657,8,LYNN,WILDING,8,07/04/1946,F,W,8007624124,604 Madlin pkwy,JEAN EWART,WILDING,77843,**********,****,*******,**/**/****,F,W,8007624124,604 Madlin pkwy,JEAN EWART,WILDING,****3,0,0,0
5,1000000657,6,LYNN,WILDING,8,07/04/1946,M,B,9798898889,300 String Street,LYNN I,JEAN EWART,77840,**********,****,*******,**/**/****,M,B,9798898889,300 String Street,LYNN I,JEAN EWART,****0,0,0,0
6,1000000657,8,LYNN,WILDING,8,07/04/1946,F,W,8007624124,604 Madlin pkwy,JEAN EWART,WILDING,77843,**********,****,*******,**/**/****,F,*,8007624124,604 Madlin pkwy,JEAN EWART,WILDING,****3,0,0,0
6,1000000657,6,LYNN,WILDING,8,07/04/1946,M,W,AMBAF,101 FOREST ST,101 FOREST ST,AB,77842,**********,****,*******,**/**/****,M,*,AMBAF,101 FOREST ST,101 FOREST ST,AB,****2,0,0,0
7,1000001971,5,JEAN EWART,ABERNATHY,5,08/27/1930,F,W,9796542356,123 Gorge Bush,JEAN EWART,WILDING,77064,**********,**********,*********,**/**/****,F,*,**********,**************,**********,*******,*****,0,0,0
7,1000001971,5,JEAN EWART,ABERNATHY,5,08/27/1930,M,W,9796542356,123 Gorge Bush,JEAN EWART,WILDING,77064,**********,**********,*********,**/**/****,M,*,**********,**************,**********,*******,*****,0,0,0
8,1000001971,5,JEAN EWART,ABERNATHY,5,08/27/1930,F,W,9796542356,123 Gorge Bush,JEAN EWART,WILDING,77064,**********,**********,*********,**/**/****,*,*,9796542356,123 Gorge Bush,**********,*******,77064,0,0,0
8,1000001971,5,JEAN EWART,ABERNATHY,5,08/27/1930,F,W,6636500439,209 Appletree St,JEAN EWART,WILDING,77840,**********,**********,*********,**/**/****,*,*,6636500439,209 Appletree St,**********,*******,77840,0,0,0
9,1000001971,5,JEAN EWART,ABERNATHY,5,08/27/1930,F,W,9796542356,123 Gorge Bush,JEAN EWART,WILDING,77064,**********,**********,*********,**/**/****,F,W,**********,123 Gorge Bush,**********,*******,77064,0,0,0
9,1000001971,5,JEAN EWART,ABERNATHY,5,08/27/1930,M,B,9796542356,530 Bulv Dr,JEAN EWART,WILDING,77840,**********,**********,*********,**/**/****,M,B,**********,530 Bulv Dr,**********,*******,77840,0,0,0
10,1000001972,5,JEAN EWART,ABERNATHY,5,08/28/1930,F,W,9796542356,123 Gorge Bush,JEAN EWART,WILDING,77064,**********,**********,*********,**/**/****,*,*,9796542356,123 Gorge Bush,**********,*******,77064,0,0,0
10,1000001972,5,JEAN EWART,ABERNATHY,5,08/28/1930,F,W,6635900339,220 Appletree St,JEAN EWART,WILDING,77840,**********,**********,*********,**/**/****,*,*,6635900339,220 Appletree St,**********,*******,77840,0,0,0
11,1000001976,5,JEAN EWART,ABERNATHY,5,08/27/1930,F,B,9796542356,123 Gorge Bush,JEAN EWART,WILDING,77064,**********,**********,*********,**/**/****,*,*,**********,**************,**********,*******,*****,0,0,0
11,1000001976,5,JEAN EWART,ABERNATHY,5,08/27/1930,F,B,9796542356,123 Gorge Bush,JEAN EWART,WILDING,77064,**********,**********,*********,**/**/****,*,*,**********,**************,**********,*******,*****,0,0,0
12,1000013651,6,CLARETTA,ADAMS,6,10/31/1945,F,B,6636500439,90 Palo Alto,CLARETTA,ADAMS,77840,**********,********,*****,**/**/***5,*,*,6636500439,90 Palo Alto,********,*****,*****,0,0,0
12,1000013651,6,CLARETTA,ADAMS,6,10/31/1944,F,B,9796542356,4430 Finna St,CLARETTA,ADAMS,77840,**********,********,*****,**/**/***4,*,*,9796542356,4430 Finna St,********,*****,*****,0,0,0
13,1000013651,6,CLARETTA,ADAMS,6,10/31/1945,F,B,6636500439,90 Palo Alto,CLARETTA,ADAMS,77840,**********,********,*****,**/**/***5,*,*,6636500439,90 Palo Alto,********,*****,*****,0,0,0
13,1000013651,6,CLARETTA,ADAMS,6,10/31/1946,F,B,9796542356,4430 Finna St,CLARETTA,ADAMS,77840,**********,********,*****,**/**/***6,*,*,9796542356,4430 Finna St,********,*****,*****,0,0,0
14,1000013651,6,CLARETTA,ADAMS,6,10/31/1945,F,B,6636500439,90 Palo Alto,CLARETTA,ADAMS,77840,**********,********,*****,**/**/***5,F,*,**********,************,********,*****,77840,0,0,0
